wavelength,BLK2211141_1_5s,BLK2211142_1_5s,MCSN0922211011340_1_5s,MCSN0942211010937_1_5s,MCSN0982211011046_1_5s,postTea221114_1_5s,preTea221114_1_5s
239,0.000759038910334486,0.00238495668955736,0.0996483473922386,0.0892069974990877,0.134929768383893,0.187676747463105,0.184363130108144
242,0.000769707601357121,0.00208619846112952,0.0935059232935353,0.0846349698822556,0.128344254256054,0.167054769652189,0.163941552770857
245,0.000625244732548684,0.00166178904806128,0.0889070631589323,0.0809737750406037,0.122389687118029,0.154098518047867,0.151356309203813
248,0.000746850458430109,0.00170152196454029,0.0850139702826326,0.0778217790533054,0.11727037207477,0.147849862426071,0.145067188804514
251,0.000775586668253888,0.0017416644877275,0.0815579276425956,0.0749264855326457,0.112714528089207,0.147572741285706,0.144989836923962
254,0.00044320375461593,0.00135873656158156,0.0787263735442887,0.0722166617820448,0.109131229990522,0.150832442709695,0.148373297635851
257,0.000528854249896553,0.00127797833216682,0.0763502293347362,0.0699169735704934,0.105485258788918,0.15772340287835,0.155347633166766
260,0.000437950915395985,0.00146887948308416,0.0742223917547014,0.0679879490275733,0.1025575624341,0.165068430474115,0.162852182720941
263,0.000484480102950261,0.00156108292745381,0.0722973319658585,0.0660904808457302,0.0996468387460551,0.173069259919164,0.170685082211447
266,0.000482098216441057,0.00151501851022909,0.0699314432181355,0.063854502862051,0.0963701745635739,0.180238458671775,0.177860022138651
269,0.000419656266178708,0.00154396514620239,0.0676291072831351,0.0616422679346565,0.0931753663597476,0.183087394327758,0.180850514554644
272,0.000435426643270819,0.00142450038644042,0.0655717568038556,0.0601457998939876,0.0905345031410009,0.182014309313517,0.179824942174111
275,0.000381503987348062,0.00137885759269721,0.0639812417074242,0.0583334744098845,0.0882213692138947,0.176835710357645,0.174812155753551
278,0.000236031532249308,0.00140204219315465,0.0620951281150191,0.0565569385111054,0.085634275990578,0.169456001234897,0.167559276883114
281,0.000293218098526711,0.00132750505564488,0.0598385889581412,0.0544503668751804,0.0824955158997588,0.158084389783416,0.156172748893238
284,0.000291842688509767,0.00119645449137524,0.0576742344237858,0.0524309486760567,0.079700594887694,0.145640222239797,0.143825088663888
287,0.000273187116269506,0.00105742644413703,0.0553672574055103,0.0503714300269239,0.0764235914033191,0.130841051710056,0.129282657120752
290,0.000270150644278238,0.00106382938321874,0.0530564956880755,0.0484193754943598,0.0733358350715274,0.117857486783794,0.116278380779101
